[0902/055838.139:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0909/104825.115:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/141853.253:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185500.789:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185505.794:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185510.804:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185515.819:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185520.828:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185525.876:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185530.884:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185535.896:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185540.911:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185545.917:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185550.926:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185555.932:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185600.937:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185605.957:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185610.971:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185616.081:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185621.082:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185626.093:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185631.108:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185636.121:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185641.137:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185646.148:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185651.167:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185656.178:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0909/185701.179:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/104432.569:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/160744.963:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/175328.735:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
